,date,ticker,shares,price_per_share
17,06/11/2023,PACB,14323288.521609101,13.36592235804289
18,06/11/2023,HOOD,18853061.977327585,10.021931264708343
19,06/11/2023,PD,7512812.561450958,23.006257041529874
20,06/11/2023,TXG,2155771.712366992,58.96671381399539
21,06/11/2023,VCYT,4541331.789764973,26.631424563132793
22,06/11/2023,PLTR,4997638.0072465055,16.669745390196244
23,06/11/2023,TWST,3730635.059866621,18.688190464551333
24,06/11/2023,META,149759.4002161128,283.0141170674101
25,06/11/2023,TER,366490.6122500778,110.55254638594606
26,06/11/2023,CERS,13388642.950126614,2.6812180838448176
27,06/11/2023,VERV,1715557.1338242074,19.9233583458731
28,06/11/2023,TWOU,6012493.796068118,4.448612775817431
29,06/11/2023,NVTA,19012896.82692749,1.2753359425029656
0,06/10/2023,TSLA,3794391.2203643047,262.2895498716961
1,06/10/2023,ROKU,9161521.333284974,73.54152091947712
2,06/10/2023,ZM,8408569.205397246,71.68632715133421
3,06/10/2023,PATH,29092493.911204293,19.218167487668232
4,06/10/2023,SQ,7305607.533744923,67.84269365380057
5,06/10/2023,COIN,8210416.514315159,55.60456459765342
6,06/10/2023,EXAS,4289220.015157606,95.72184862257794
7,06/10/2023,SHOP,5939854.209749144,67.75044644985974
8,06/10/2023,U,8629703.233349944,42.71045542459389
9,06/10/2023,TWLO,4645654.017183659,69.76963524723077
10,06/10/2023,DKNG UW,12706529.7752967,25.44997859833612
11,06/10/2023,NTLA,6806516.840445464,46.707834262028875
12,06/10/2023,CRSP,5101424.273324592,60.41166889190218
13,06/10/2023,TDOC,11923994.231359646,25.829217103426103
14,06/10/2023,RBLX,6903103.482620891,41.644487734611225
15,06/10/2023,DNA,112886466.1875126,1.998689418717496
16,06/10/2023,BEAM,6122083.235774558,34.848943710971724
17,06/10/2023,PACB,14432810.410479495,13.642336493912754
18,06/10/2023,HOOD,18997220.419408284,10.229189948102876
19,06/10/2023,PD,7570258.686425539,23.48203824759889
20,06/10/2023,TXG,2172255.6496664183,60.18617572671353
21,06/10/2023,VCYT,4576056.722859203,27.182176094557946
22,06/10/2023,PLTR,5035852.049616617,17.01448428241561
23,06/10/2023,TWST,3759161.064759023,19.074671837093646
24,06/10/2023,META,150904.52358376826,288.86699429597536
25,06/10/2023,TER,369292.9536290383,112.83882979826112
26,06/10/2023,CERS,13491018.145815574,2.7366670502439563
27,06/10/2023,VERV,1728675.0052877362,20.335383624284677
28,06/10/2023,TWOU,6058467.852680428,4.540612371753081
29,06/10/2023,NVTA,19158277.43349989,1.3017105444980615
0,06/09/2023,TSLA,3807911.7459451654,273.31557384974445
1,06/09/2023,ROKU,9194166.513065457,76.63303018256804
2,06/09/2023,ZM,8438531.396546606,74.69984851524471
3,06/09/2023,PATH,29196158.97505601,20.026053183597913
4,06/09/2023,SQ,7331639.549899083,70.69463787852513
5,06/09/2023,COIN,8239672.629476805,57.94204721120997
6,06/09/2023,EXAS,4304503.760446083,99.7457656968645
7,06/09/2023,SHOP,5961019.64739787,70.59851282324384
8,06/09/2023,U,8660453.389711138,44.50590059522801
9,06/09/2023,TWLO,4662207.841059819,72.70258347773388
10,06/09/2023,DKNG UW,12751806.85688724,26.5198346959326
11,06/09/2023,NTLA,6830770.450501246,48.671319657416376
12,06/09/2023,CRSP,5119602.139912552,62.95123064753394
13,06/09/2023,TDOC,11966482.909956064,26.915015478755596
14,06/09/2023,RBLX,6927701.25912933,43.39512217864445
15,06/09/2023,DNA,113288713.6799772,2.0827095310941828
16,06/09/2023,BEAM,6143898.008735555,36.31390977292421
17,06/09/2023,PACB,14484238.734820774,14.215827619930039
18,06/09/2023,HOOD,19064913.07146465,10.659200574523048
19,06/09/2023,PD,7597233.73203344,24.469166849932172
20,06/09/2023,TXG,2179996.031818331,62.71625829017971
21,06/09/2023,VCYT,4592362.551222085,28.324849622880887
22,06/09/2023,PLTR,5053796.263195029,17.729732418545353
23,06/09/2023,TWST,3772556.054992468,19.876525319827053
24,06/09/2023,META,151442.24053304637,301.01027033244804
25,06/09/2023,TER,370608.8524218606,117.58230373238905
26,06/09/2023,CERS,13539090.588892447,2.851709973344343
27,06/09/2023,VERV,1734834.7798793882,21.19023440867107
28,06/09/2023,TWOU,6080055.945427259,4.7314888321780675
29,06/09/2023,NVTA,19226543.978798293,1.3564313356356985
0,06/08/2023,TSLA,3783452.6507246154,282.0219743600823
1,06/08/2023,ROKU,9135110.261445098,79.07415654683822
2,06/08/2023,ZM,8384328.763523528,77.07939385206781
3,06/08/2023,PATH,29008625.31354045,20.663978191682457
4,06/08/2023,SQ,7284546.738448112,72.94659821373132
5,06/08/2023,COIN,8186747.312169981,59.78777690126792
6,06/08/2023,EXAS,4276854.94020594,102.923142577132
7,06/08/2023,SHOP,5922730.643635499,72.84741111841122
8,06/08/2023,U,8604825.30055239,45.9236251331951
9,06/08/2023,TWLO,4632261.405025973,75.01850642708402
10,06/08/2023,DKNG UW,12669899.060972909,27.36461751997203
11,06/08/2023,NTLA,6786894.836772426,50.221732597065056
12,06/08/2023,CRSP,5086717.754825426,64.95652664628076
13,06/08/2023,TDOC,11889619.430842778,27.772386689621225
14,06/08/2023,RBLX,6883203.036465162,44.77746314282979
15,06/08/2023,DNA,112561034.14846946,2.1490537319349756
16,06/08/2023,BEAM,6104434.335087911,37.470680454250854
17,06/08/2023,PACB,14391203.12946847,14.668669319002321
18,06/08/2023,HOOD,18942454.73857839,10.998746792159515
19,06/08/2023,PD,7548434.947906563,25.248626153143743
20,06/08/2023,TXG,2165993.4146149666,64.71406930216502
21,06/08/2023,VCYT,4562864.747590676,29.227130754315667
22,06/08/2023,PLTR,5021334.56442841,18.294508692369536
23,06/08/2023,TWST,3748324.057527669,20.5096871545179
24,06/08/2023,META,150469.49210063968,310.598878600633
25,06/08/2023,TER,368228.34630308894,121.32785915319052
26,06/08/2023,CERS,13452125.888025627,2.942550494495582
27,06/08/2023,VERV,1723691.5360481266,21.865244123892264
28,06/08/2023,TWOU,6041002.344073754,4.8822092474215095
29,06/08/2023,NVTA,19103047.453323334,1.3996401228499584
0,06/07/2023,TSLA,3803422.184746999,283.4393449415469
1,06/07/2023,ROKU,9183326.510465477,79.47156310885497
2,06/07/2023,ZM,8428582.294347012,77.46677524506364
3,06/07/2023,PATH,29161736.448691137,20.767830080711224
4,06/07/2023,SQ,7322995.482851778,73.31320922892141
5,06/07/2023,COIN,8229957.983499969,60.08825503352448
6,06/07/2023,EXAS,4299428.712926707,103.44040806600647
7,06/07/2023,SHOP,5953991.553183513,73.21352364453396
8,06/07/2023,U,8650242.639543837,46.154425571372634
9,06/07/2023,TWLO,4656711.0573060205,75.39553032501405
10,06/07/2023,DKNG UW,12736772.365257503,27.502145114883188
11,06/07/2023,NTLA,6822716.912495591,50.47413422816057
12,06/07/2023,CRSP,5113566.084286558,65.28298159771306
13,06/07/2023,TDOC,11952374.322117005,27.91196362847589
14,06/07/2023,RBLX,6919533.438853927,45.00250326289586
15,06/07/2023,DNA,113155145.29734086,2.1598543283939673
16,06/07/2023,BEAM,6136654.299336333,37.65899854635635
17,06/07/2023,PACB,14467161.690879809,14.742390313294207
18,06/07/2023,HOOD,19042435.37248352,11.054023690959893
19,06/07/2023,PD,7588276.5271263,25.37551931461836
20,06/07/2023,TXG,2177425.797461658,65.03930572476604
21,06/07/2023,VCYT,4586948.115674877,29.374018866157954
22,06/07/2023,PLTR,5047837.793272286,18.38645223145634
23,06/07/2023,TWST,3768108.1784626516,20.612763616108584
24,06/07/2023,META,151263.68880910357,312.1598694211651
25,06/07/2023,TER,370171.9013487949,121.93762205789328
26,06/07/2023,CERS,13523127.882868318,2.9573390034932783
27,06/07/2023,VERV,1732789.3945257834,21.975133269403237
28,06/07/2023,TWOU,6072887.506378131,4.906745987069373
29,06/07/2023,NVTA,19203875.7155661,1.40667435746684
0,06/06/2023,TSLA,3816551.4461376136,287.45186702078485
1,06/06/2023,ROKU,9215026.98659847,80.59660593490156
2,06/06/2023,ZM,8457677.42360681,78.56343719981902
3,06/06/2023,PATH,29262401.597560104,21.061830819225143
4,06/06/2023,SQ,7348274.170619397,74.351071035974
5,06/06/2023,COIN,8258367.469576082,60.93889717029142
6,06/06/2023,EXAS,4314270.169031345,104.90476694439658
7,06/06/2023,SHOP,5974544.494093611,74.2499742480417
8,06/06/2023,U,8680102.931457333,46.80781281264596
9,06/06/2023,TWLO,4672785.837785854,76.46287060611498
10,06/06/2023,DKNG UW,12780739.19447958,27.891480492872553
11,06/06/2023,NTLA,6846268.658630311,51.1886736230448
12,06/06/2023,CRSP,5131217.910062836,66.20716311920694
13,06/06/2023,TDOC,11993633.440640021,28.307100621038593
14,06/06/2023,RBLX,6943419.391768686,45.63958326320628
15,06/06/2023,DNA,113545752.33703783,2.1904304051994146
16,06/06/2023,BEAM,6157837.78474664,38.19211988552826
17,06/06/2023,PACB,14517101.754904673,14.95109163754062
18,06/06/2023,HOOD,19108169.09842167,11.210510484046234
19,06/06/2023,PD,7614470.954457679,25.734749016983898
20,06/06/2023,TXG,2184942.1843009074,65.9600376375947
21,06/06/2023,VCYT,4602782.0772680435,29.78985351071204
22,06/06/2023,PLTR,5065262.727614595,18.646740885287326
23,06/06/2023,TWST,3781115.53731478,20.904569149108266
24,06/06/2023,META,151785.8450181218,316.5789749217186
25,06/06/2023,TER,371449.7199595607,123.66383759405313
26,06/06/2023,CERS,13569809.179913102,2.9992047086576603
27,06/06/2023,VERV,1738770.914270515,22.28622525084943
28,06/06/2023,TWOU,6093850.871367374,4.976208561555595
29,06/06/2023,NVTA,19270166.72711714,1.4265880074888495
0,06/05/2023,TSLA,3792803.6954186736,286.7247522750202
1,06/05/2023,ROKU,9157688.269477936,80.39273534870142
2,06/05/2023,ZM,8405051.167167822,78.36470955105473
3,06/05/2023,PATH,29080321.982393477,21.008554533632772
4,06/05/2023,SQ,7302550.960627063,74.16299864432818
5,06/05/2023,COIN,8206981.3806471955,60.784751117310826
6,06/05/2023,EXAS,4287425.460148408,104.6394084211181
7,06/05/2023,SHOP,5937369.050422194,74.06215758256673
8,06/05/2023,U,8626092.675460497,46.68941159554548
9,06/05/2023,TWLO,4643710.334729021,76.26945637890043
10,06/05/2023,DKNG UW,12701213.52512133,27.820928483738765
11,06/05/2023,NTLA,6803669.080515209,51.05919093854111
12,06/05/2023,CRSP,5099289.90240135,66.03969089132352
13,06/05/2023,TDOC,11919005.384086268,28.23549729320245
14,06/05/2023,RBLX,6900215.3120700745,45.52413710407999
15,06/05/2023,DNA,112839235.92824598,2.184889671497808
16,06/05/2023,BEAM,6119521.834144737,38.09551222098742
17,06/05/2023,PACB,14426771.906479374,14.913272578274782
18,06/05/2023,HOOD,18989272.22441152,11.182153293101601
19,06/05/2023,PD,7567091.386637082,25.669652499494767
20,06/05/2023,TXG,2171346.8055773783,65.79319051812888
21,06/05/2023,VCYT,4574142.159025834,29.71449953237019
22,06/05/2023,PLTR,5033745.113276377,18.599573613776215
23,06/05/2023,TWST,3757588.279661661,20.851690659781653
24,06/05/2023,META,150841.38705364135,315.7781826247321
25,06/05/2023,TER,369138.4461620735,123.35102765907372
26,06/05/2023,CERS,13485373.675700448,2.991618165589307
27,06/05/2023,VERV,1727951.7496890372,22.229851837187958
28,06/05/2023,TWOU,6055933.066916427,4.963621151146304
29,06/05/2023,NVTA,19150261.854300316,1.4229794270780596
0,06/04/2023,TSLA,3828717.9423574666,279.2055318694356
1,06/04/2023,ROKU,9244402.875429144,78.2844740587417
2,06/04/2023,ZM,8484639.014942668,76.30963227412394
3,06/04/2023,PATH,29355684.998411633,20.457615172145037
4,06/04/2023,SQ,7371699.179080834,72.21810923969495
5,06/04/2023,COIN,8284693.695756639,59.19069989807298
6,06/04/2023,EXAS,4328023.305192018,101.89528964942
7,06/04/2023,SHOP,5993590.293430679,72.11991268686863
8,06/04/2023,U,8707773.57627738,45.46500395857514
9,06/04/2023,TWLO,4687681.858980363,74.26932612095536
10,06/04/2023,DKNG UW,12821481.948059889,27.091337851965942
11,06/04/2023,NTLA,6868093.361619607,49.72018791438132
12,06/04/2023,CRSP,5147575.332250658,64.3078313731322
13,06/04/2023,TDOC,12031867.039211191,27.495034791362933
14,06/04/2023,RBLX,6965553.794245638,44.330288237026835
15,06/04/2023,DNA,113907716.26863554,2.1275919779030836
16,06/04/2023,BEAM,6177467.890927026,37.09647551215633
17,06/04/2023,PACB,14563379.727602514,14.522179090200023
18,06/04/2023,HOOD,19169082.58809558,10.888906635627063
19,06/04/2023,PD,7638744.551549457,24.996478058338287
20,06/04/2023,TXG,2191907.396535318,64.06779535511237
21,06/04/2023,VCYT,4617454.938759419,28.93525089948194
22,06/04/2023,PLTR,5081409.896255659,18.11180863240574
23,06/04/2023,TWST,3793169.070076174,20.304864978859694
24,06/04/2023,META,152269.71165419425,307.49704981150074
25,06/04/2023,TER,372633.8364787621,120.11620556274387
26,06/04/2023,CERS,13613067.350128157,2.9131644005134536
27,06/04/2023,VERV,1744313.8107974492,21.646884534152402
28,06/04/2023,TWOU,6113276.99849737,4.833452544672135
29,06/04/2023,NVTA,19331596.63680136,1.385662467659957
0,06/03/2023,TSLA,3866254.3604807355,279.0769915935372
1,06/03/2023,ROKU,9335034.198199918,78.24843355543683
2,06/03/2023,ZM,8567821.678822523,76.27450094588502
3,06/03/2023,PATH,29643485.584138997,20.448196922152476
4,06/03/2023,SQ,7443970.677486004,72.18486156145455
5,06/03/2023,COIN,8365916.113095549,59.16344976142784
6,06/03/2023,EXAS,4370454.869720093,101.84837922985706
7,06/03/2023,SHOP,6052350.93203109,72.0867102162282
8,06/03/2023,U,8793143.832013858,45.44407283979167
9,06/03/2023,TWLO,4733639.484727849,74.23513410618237
10,06/03/2023,DKNG UW,12947182.643333875,27.078865577442464
11,06/03/2023,NTLA,6935427.552336372,49.697297799599404
12,06/03/2023,CRSP,5198041.713661198,64.27822541822226
13,06/03/2023,TDOC,12149826.41850914,27.482376663372932
14,06/03/2023,RBLX,7033843.478577917,44.30987951717629
15,06/03/2023,DNA,115024457.62427938,2.1266124799038573
16,06/03/2023,BEAM,6238031.249520668,37.07939708550316
17,06/03/2023,PACB,14706157.837396266,14.515493388471972
18,06/03/2023,HOOD,19357014.608656798,10.883893615097689
19,06/03/2023,PD,7713634.139589272,24.984970212614044
20,06/03/2023,TXG,2213396.666249758,64.038299907669
21,06/03/2023,VCYT,4662724.0658813575,28.921929726692465
22,06/03/2023,PLTR,5131227.597479198,18.103470341745663
23,06/03/2023,TWST,3830356.9701435687,20.295517051800413
24,06/03/2023,META,153762.55068026314,307.3554847237459
25,06/03/2023,TER,376287.1062425651,120.06090662185423
26,06/03/2023,CERS,13746528.679922538,2.9118232417145133
27,06/03/2023,VERV,1761414.911877768,21.636918769893608
28,06/03/2023,TWOU,6173211.035157607,4.83122732614056
29,06/03/2023,NVTA,19521121.93097922,1.3850245381937942
0,06/02/2023,TSLA,3853352.9188813334,279.380322611176
1,06/02/2023,ROKU,9303883.790775219,78.33348240465756
2,06/02/2023,ZM,8539231.410123887,76.35740431194074
3,06/02/2023,PATH,29544567.183431666,20.470422231182283
4,06/02/2023,SQ,7419130.627140401,72.26331986570432
5,06/02/2023,COIN,8337999.59025581,59.22775498888742
6,06/02/2023,EXAS,4355870.943519876,101.95907904907273
7,06/02/2023,SHOP,6032154.627078465,72.16506183899462
8,06/02/2023,U,8763801.677813284,45.49346636657952
9,06/02/2023,TWLO,4717843.6348766135,74.31582086808419
10,06/02/2023,DKNG UW,12903978.72937075,27.108297813347004
11,06/02/2023,NTLA,6912284.47762097,49.75131419066545
12,06/02/2023,CRSP,5180696.183505309,64.34808993631383
13,06/02/2023,TDOC,12109283.230874227,27.512247478708993
14,06/02/2023,RBLX,7010371.9962601,44.358040280156615
15,06/02/2023,DNA,114640628.42315097,2.128923912042957
16,06/02/2023,BEAM,6217215.341316706,37.11969897921055
17,06/02/2023,PACB,14657084.336586256,14.531270394508597
18,06/02/2023,HOOD,19292421.498574585,10.895723406250621
19,06/02/2023,PD,7687894.239651935,25.012126576873932
20,06/02/2023,TXG,2206010.704240165,64.10790364880128
21,06/02/2023,VCYT,4647164.85621192,28.953365203784223
22,06/02/2023,PLTR,5114105.021722469,18.123147148673386
23,06/02/2023,TWST,3817575.315821936,20.31757641185613
24,06/02/2023,META,153249.4549594917,307.6895518620857
25,06/02/2023,TER,375031.4604228232,120.19140178297911
26,06/02/2023,CERS,13700657.3997576,2.914988125720358
27,06/02/2023,VERV,1755537.1838497855,21.66043611022168
28,06/02/2023,TWOU,6152611.427830952,4.836478425820669
29,06/02/2023,NVTA,19455981.205340043,1.3865299324587466
0,06/01/2023,TSLA,3852792.9242438166,280.21207907674506
1,06/01/2023,ROKU,9302531.689075584,78.56669274621512
2,06/01/2023,ZM,8537990.43274682,76.58473157728619
3,06/01/2023,PATH,29540273.57224713,20.531365700230428
4,06/01/2023,SQ,7418052.430189927,72.47845843724015
5,06/01/2023,COIN,8336787.857212807,59.40408475933339
6,06/01/2023,EXAS,4355237.919651719,102.26262627970773
7,06/01/2023,SHOP,6031277.994619682,72.379907881879
8,06/01/2023,U,8762528.06440513,45.62890713219212
9,06/01/2023,TWLO,4717158.006751759,74.53707003811657
10,06/01/2023,DKNG UW,12902103.438152116,27.189003217958494
11,06/01/2023,NTLA,6911279.938892765,49.89943119784006
12,06/01/2023,CRSP,5179943.29059816,64.53966369981771
13,06/01/2023,TDOC,12107523.430042014,27.5941555011097
14,06/01/2023,RBLX,7009353.202807346,44.49010071468601
15,06/01/2023,DNA,114623968.09161374,2.135262032823964
16,06/01/2023,BEAM,6216311.814615488,37.23020980308452
17,06/01/2023,PACB,14654954.272508837,14.574532131736907
18,06/01/2023,HOOD,19289617.79675662,10.92816158337598
19,06/01/2023,PD,7686776.9842022965,25.086591370254894
20,06/01/2023,TXG,2205690.1122283028,64.29876234226833
21,06/01/2023,VCYT,4646489.499592913,29.03956364640592
22,06/01/2023,PLTR,5113361.806281747,18.177102433270676
23,06/01/2023,TWST,3817020.520621449,20.378064836335383
24,06/01/2023,META,153227.18373887258,308.6055890824504
25,06/01/2023,TER,374976.9583797563,120.54922933004633
26,06/01/2023,CERS,13698666.329944937,2.923666475712814
27,06/01/2023,VERV,1755282.0576182639,21.724922426270492
